controller,wind_power,total_reward,steps,avg_tracking_error,success,crash
PD Controller,0,-701.9228835576866,89,1.106847882270813,0,1
PPO AI,0,192.515551829477,691,0.6779483556747437,1,0
PD Controller,0,-426.44014158373426,57,0.8966564536094666,0,1
PPO AI,0,89.6048425432436,1000,0.37885215878486633,0,0
PD Controller,0,-226.84664296926516,108,1.0816994905471802,0,1
PPO AI,0,198.70464881469618,635,0.6345418691635132,1,0
PD Controller,0,-762.4443385288084,81,1.0601800680160522,0,1
PPO AI,0,208.220086347187,598,0.5897725820541382,1,0
PD Controller,0,-537.3097990507589,67,0.9724028706550598,0,1
PPO AI,0,234.02105393748948,581,0.5480945706367493,1,0
PD Controller,0,-546.903202425083,65,0.9496384263038635,0,1
PPO AI,0,190.08336464699966,564,0.5575276613235474,1,0
PD Controller,0,-501.9379520896278,65,0.9660022854804993,0,1
PPO AI,0,217.30002683743714,579,0.5633445382118225,1,0
PD Controller,0,-544.5770177457753,68,0.9800558686256409,0,1
PPO AI,0,208.74384278081777,535,0.6173619031906128,1,0
PD Controller,0,-312.14831140179695,123,0.89170902967453,0,1
PPO AI,0,185.01512424230566,624,0.6018269062042236,1,0
PD Controller,0,-439.5518313378985,58,0.8949012160301208,0,1
PPO AI,0,-33.606896738000685,497,0.6204127669334412,0,1
PD Controller,8,-585.2083158370194,65,0.9550082087516785,0,1
PPO AI,8,196.57066580423486,544,0.5864381194114685,1,0
PD Controller,8,-472.7860107042785,57,0.8901802897453308,0,1
PPO AI,8,203.15209845097132,541,0.5019233226776123,1,0
PD Controller,8,-447.10981157904746,67,0.8764475584030151,0,1
PPO AI,8,198.65274173446414,527,0.5282944440841675,1,0
PD Controller,8,-473.95150089804076,60,0.9133309721946716,0,1
PPO AI,8,207.5657196236932,526,0.5690311193466187,1,0
PD Controller,8,-732.2814637571615,72,1.0797449350357056,0,1
PPO AI,8,-27.02088021463169,411,0.7354527115821838,0,1
PD Controller,8,-573.2461876722082,67,0.9586758017539978,0,1
PPO AI,8,162.34214877037863,570,0.549466073513031,1,0
PD Controller,8,-397.56227814978365,60,0.922703206539154,0,1
PPO AI,8,160.94331309488405,596,0.5768426656723022,1,0
PD Controller,8,-337.77612726366635,80,0.8848869204521179,0,1
PPO AI,8,149.91317184288584,598,0.5654870867729187,1,0
PD Controller,8,-497.62507150841026,68,0.9759262204170227,0,1
PPO AI,8,176.8477489750061,640,0.6384259462356567,1,0
PD Controller,8,-447.2706962688502,82,1.0363314151763916,0,1
PPO AI,8,166.6970376116817,582,0.6250718235969543,1,0
PD Controller,12,-418.9169385030867,50,0.8412783145904541,0,1
PPO AI,12,225.70353552746127,561,0.4801792502403259,1,0
PD Controller,12,-360.08662689363814,53,0.8675053715705872,0,1
PPO AI,12,194.18508924289978,568,0.4815792441368103,1,0
PD Controller,12,-248.35389880504982,53,0.8793509006500244,0,1
PPO AI,12,93.17517340575074,1000,0.6766098737716675,0,0
PD Controller,12,-833.0736929841871,88,1.204493761062622,0,1
PPO AI,12,171.21900995971725,675,0.750906765460968,1,0
PD Controller,12,-535.3495552262513,57,0.9141075611114502,0,1
PPO AI,12,187.5447117686967,537,0.6335421204566956,1,0
PD Controller,12,-328.43647899700744,50,0.8711597323417664,0,1
PPO AI,12,205.31576061744545,649,0.6698141694068909,1,0
PD Controller,12,-693.518422159854,86,1.164613127708435,0,1
PPO AI,12,227.10790968678828,631,0.6531047821044922,1,0
PD Controller,12,-346.30523100438654,53,0.9006596803665161,0,1
PPO AI,12,254.07637043628017,476,0.6360426545143127,1,0
PD Controller,12,-519.8911219453191,73,1.0243000984191895,0,1
PPO AI,12,-46.652122780307124,590,0.6145287752151489,0,1
PD Controller,12,-405.7459451051774,52,0.8604745268821716,0,1
PPO AI,12,165.45362723442332,560,0.6222873330116272,1,0
